ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,POV,Citation
139,POR,mesmo aos domingos eu tenho que trabalhar,mesmo	aos	domingos	eu	tenho	que	trabalhar,even	on.the	sundays	I	have	to	work,Even on Sunday I have to work.,,,,scalar focus particl,questionnaire (Sabine Reiter)
140,SLO,ja sám zostanem pri det’och,ja	sám	zostanem	pri	det’och,I	INT.NOM.SG.MASC	I.stay	with	children,I myself stay with the kids.,,,,adnominal,Insa Gülzow (p.c.)
141,SLO,sama ne-mám peniaze,sama	ne-mám	peniaze,INT.NOM.SG.FEM	not-I.have	money,I don't have money myself.,,,,adv inclusive,Insa Gülzow (p.c.)
142,SLO,vlastnú postu si otváram vzdy sama,vlastnú	postu	si	otváram	vzdy	sama,own.ACC	mail.ACC	REFL.DAT	I.open	always	INT.NOM.SG.FEM,I always open my letters myself.,,,,adv exclusive,Insa Gülzow (p.c.)
143,TSK,bajram wuž-žar a|l<sub>j</sub>ha:sda,bajram	wuž-žar	a|l<sub>j</sub>ha:sda,Bajram.NOM	INT.NOM-RESTR	will.go.away,(It isn't necessary to chase Bajram.) Bajram will go away himself.,,,RESTR: restrictive,adv exclusive,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
144,TSK,"in<sub>j</sub>a: sažu čož worna rasul-na, wuž rasul worna Xiw-e:","in<sub>j</sub>a:	sažu	čož	worna	rasul-na,	wuž	rasul	worna	Xiw-e:",here	only	brother.NOM	is	Rasul-of	INT.NOM	Rasul.NOM	is	village-INESS,"Only Rasul's brother is here, but Rasul himself is in the village.",,,,adnominal,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
145,YDD,di turistn zenen fun der lavine bagrobn gevorn. nor der bergfirer aleyn hot´s iberlebt,di	turistn	zenen	fun	der	lavine	bagrobn	gevorn.	nor	der	bergfirer	aleyn	hot´s	iberlebt,ART	tourists	are	PREP	ART	avalanche	buried	became.	only	ART	mountain.guide	INT	has.it	survived,The tourists were buried by an avalanche. Only the mountain guide himself survived.,,,,adnominal,questionnaire (source informant: Adam Albright)
146,YDD,Maria iz di gutskayt aleyn,Maria	iz	di	gutskayt	aleyn,Maria	is	ART	kindness	INT,Maria is kindness itself.,,,,adnominal,questionnaire (source informant: Adam Albright)
147,YDD,Ikh aleyn veys dos nit,Ikh	aleyn	veys	dos	nit,I	INT	know	that	not,I don´t know this myself.,,,,adv inclusive,questionnaire (source informant: Adam Albright)
148,YDD,dem kardinal aleyn/gufe hobm mir nit gezeyn,dem	kardinal	aleyn/gufe	hobm	mir	nit	gezeyn,ART	cardinal	INT	have	we	not	seen,The director himself we haven't seen.,,,,adnominal,questionnaire (source informant: Adam Albright)
149,YDD,mayne post effen ikh alemal aleyn/gufe,mayne	post	effen	ikh	alemal	aleyn/gufe,my	letters	open	I	always	INT/INT,I always open my letters myself.,,,,adv exclusive,questionnaire (source informant: Adam Albright)
151,DNS,direktør-en ham selv vil tale med os,direktør-en	ham	selv	vil	tale	med	os,director-ART	INT	INT	will	talk	with	us,The director himself will talk to us.,,,,adnominal,questionnaire (source informant: Nanna Brandenhoff)
152,DNS,selv på søndag skal jeg på arbejde,selv	på	søndag	skal	jeg	på	arbejde,even	on	sunday	have	I	to	work,Even on sunday I have to work.,,,,scalar focus particle,questionnaire (source informant: Nanna Brandenhoff)
153,DNS,jeg har ikke selv nogen penge,jeg	har	ikke	selv	nogen	penge,I	have	not	INT	any	money,I don't have money myself.,,,,adv inclusive,questionnaire (source informant: Nanna Brandenhoff)
154,AMH,bä-ras-u bä-kure-w wust bäqi wuha allä,bä-ras-u	bä-kure-w	wust	bäqi	wuha	allä,LOC-INT-3.SG.M	LOC-oasis-ART	in	enough	water	exists,In the oasis itself there is enough water.,,,locative is marked twice (bä-),adnominal,questionnaire (anonymous source informant)
155,ARM,"ap’sos, bayc’ es ink’-s (el) ayd c’-gitem","ap’sos,	bayc’	es	ink’-s	(el)	ayd	c’-gitem",unfortunately	but	I	INT-POSS.1SG	(also)	that	NEG-I.know,"Unfortunately, I don't know that myself.",,,unclear if dropping <i>el</i> (<i>too</i>) really does not change the meaning,adv inclusive,questionnaire (source of information: Stella Gevorkian)
156,FRN,le directeur en personne nous recevra,le	directeur	en	personne	nous	recevra,ART	directeur	in	person	us	will.welcome,The director in person/himself will welcome us.,,,,adnominal,questionnaire (anonymous source informant)
157,HND,Paul-ne (xud) apne parivaar [ke saath] višvaasghaat kiyaa,Paul-ne	(xud)	apne	parivaar	[ke saath]	višvaasghaat	kiyaa,Pau-ERG	(INT)	REFL.GEN	family	[together.with]	betrayal	PART.PFCT.do.3SG,Paul betrayed his own family.,,,,own,questionnaire (anonymous source informant)
158,KKN,gu chip cashey-neun maeu orae doi(t)da,gu	chip	cashey-neun	maeu	orae	doi(t)da,the	house	INT-NOM	very	old	was,The house itself was very old.,,,-,adnominal,Moon Seung Hyun (p.c.)
159,MJS,naan-ee ceytaal prasnam tiirum,naan-ee	ceytaal	prasnam	tiirum,I-INT	do.COND	problem	end.FUT,The problem will be solved if I myself do it/I do it myself.,,,,adnominal,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge."
163,AMH,bä-gəll-e läzih wusane gəd yälännəm,bä-gəll-e	läzih	wusane	gəd	yälännəm,INSTR-gəll-POSS.1SG	concerning.this	decision	objection	I.have.not,Personally I don't have any objection to this decision.,,,,adnominal,questionnaire (anonymous source informant)
167,HND,svayam restaurant (hii) dekh-ne mê balki kaafī puraanaa lag-taa hai,svayam	restaurant	(hii)	dekh-ne	mê	balki	kaafī	puraanaa	lag-taa	hai,INT	restaurant	(EMPH)	see-OBL	in	however	rather	old	seem-PART.PRS	is,The restaurant itself seems to be rather old.,,,,adnominal,questionnaire (anonymous source informant)
168,PQL,on kocha sie sam ponad wszystko,on	kocha	sie	sam	ponad	wszystko,He	loves	REFL	INT.MASC.SG.NOM	most	of.all,Most of all he loves himself.,,,,reflexive,questionnaire (Anna Porchawka)
169,RUS,moi pis’ma ja vsegda raspečatyvaju sam/a,moi	pis’ma	ja	vsegda	raspečatyvaju	sam/a,my	letters	I	always	I.open	INT.SG.MASC/FEM,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
170,SLO,riaditel nas prijme osobne,riaditel	nas	prijme	osobne,director	us	welcomes	personally,The director will welcome us personally.,,,,adnominal,Insa Gülzow (p.c.)
171,SPN,mis cartas las abro siempre yo mismo,mis	cartas	las	abro	siempre	yo	mismo,my	letters	them	I.open	always	I	INT.SG.MASC,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
175,HNG,mag-a az igazgató fogad minket,mag-a	az	igazgató	fogad	minket,INT-POSS.3SG.NOM	ART	director	welcome	us,The director himself welcomes us.,,,,adnominal,questionnaire (source of information: Ildikó Reinhardt)
176,HNG,a ház mag-a már nagyon régi,a	ház	mag-a	már	nagyon	régi,ART	house	INT-POSS.3SG.NOM	already	very	old,The house itself is very old.,,,,adnominal,questionnaire (source informant: Ildikó Reinhardt)
177,HNG,a leveleimet mindig (saját) maga-m bontom ki,a	leveleimet	mindig	(saját)	maga-m	bontom	ki,ART	my.letters	always	(own)	INT-POSS.1SG.NOM	I.open	PRT,I always open my letters myself.,,,PRT: particle,adv exclusive,questionnaire (source of information: Ildikó Reinhardt)
182,HNG,látja magá-t a tükör-ben,látja	magá-t	a	tükör-ben,he.sees	INT-POSS.3SG.ACC	ART	mirror-in,He sees himself in the mirror.,,,,reflexive,questionnaire (source of information: Ildikó Reinhardt)
183,ABK,sarà s-tʂə̀-s-š-we-yt’,sarà	s-tʂə̀-s-š-we-yt’,I	POSS.1SG-REFL-I-kill-DYN-FIN,I kill myself.,,,FIN: finite; DYN: dynamic,reflexive,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge."
184,ABK,??? s-xa-t°’ là à-fa+t°’ (ø-)à-s-te-yt’,???	s-xa-t°’	là	à-fa+t°’	(ø-)à-s-te-yt’,POSS.1SG-dog	POSS.1SG-OWN	dog	ART-food	(it-)to.it-I-give-FIN,I gave my own dog some food.,,,"FIN: finite; <i>xa-</i>: <i>head</i>, <i>-t°'(È)</i>: belong; intensifier (<i>-xatà</i>) + possessive pronoun (<i>-t°'(E)</i>) yields specific type of emphatic possessive pronoun (p. 163)",own,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge."
185,BSQ,aita-k bere buru-a hil du,aita-k	bere	buru-a	hil	du,father-ERG.SG	his	head-ABS.SG	kill	3SG.ERG.3SG.ABS.PRS.AUX2,Father has killed himself.,,,,reflexive,"Saltarelli, Mario (1988). <i>Basque</i>. London: Routledge."
186,BSQ,n-eu-re buru-aren ahulezia-k ikus-araz-i zizkidaten,n-eu-re	buru-aren	ahulezia-k	ikus-araz-i	zizkidaten,1SG-INT-GEN	REFL-GEN.SG	weakness-ABS.PL	see-CAUSE-PFCT	3PL.ERG.3PL.ABS.1SG.DAT.PST.AUX2,They made me see my (own) weaknesses.,,,,own,"Saltarelli, Mario (1988). <i>Basque</i>. London: Routledge."
187,ABV,sawweet haadha b-ruuħ-ik,sawweet	haadha	b-ruuħ-ik,you.did	this	INSTR-REFL-POSS.2SG,You did this by yourself.,,,Gulf Arabic<br><i>ruuħ</i>: lit.: <i>spirit</i>,adv exclusive,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge."
188,KVA,rasul-i-r inšurda b-eZa Ran,rasul-i-r	inšurda	b-eZa	Ran,Fatima-OBL-ERG	INT.MASC.SG.ERG	NEUT-bake	bread.ABS,Rasul baked bread herself.,,,,adv exclusive,questionnaire (source of information: Ekaterina Lyutikova)
189,AMH,essu bä-gäzza əgg-u adärrägäw,essu	bä-gäzza	əgg-u	adärrägäw,he	INSTR-gäzza	əgg-POSS.3SG	he.did.it.,He did it himself.,,,,adv exclusive,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz."
190,BSQ,"sentitzen dut, ni n-eu diruz urri nabil","sentitzen	dut,	ni	n-eu	diruz	urri	nabil",be.sorry.IMPF	3SG.ERG.1SG.ABS.AUX2.PRS	I.ABS	1SG-INT.ABS	money.INSTR	short	COP.1SG.PRS,"I'm sorry, I'm short of money myself.",,,inclusive use likely to exist,adv inclusive,questionnaire (source of information: Iraide Ibarretxe)
191,YUH,dáng ngóh jihgéi gáau-dihm la,dáng	ngóh	jihgéi	gáau-dihm	la,let	me	INT	manage	PRT,Let me manage by myself.,,,,adv exclusive,"Matthews, Stephen & Yip, Virginia (1994). <i>Cantonese: A Comprehensive Grammar</i>. London: Routledge."
192,ALN,ai e pa vetё,ai	e	pa	vetё,He	it	saw	INT,He saw it himself.,,,,adv exclusive,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie."
193,ALN,ajo vetё mё tha,ajo	vetё	mё	tha,she	INT	to.me	said,She herself told me about it.,,,,adnominal,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie."
194,ALN,fajet i kishte vetё llogaritari,fajet	i	kishte	vetё	llogaritari,guilt	it	has	INT	accountant,The accountant himself was guilty.,,,<i>i</i>: clitic object marking on the verb,adnominal,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie."
195,ALN,unё e lavdёrova veten,unё	e	lavdёrova	veten,I	it	praise	REFL,I praise myself.,,,<i>e</i>: clitic object marking on the verb; <i>e</i> and <i>veten</i> are third person despite reflexive semantics,reflexive,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie."
196,ALN,plaga u mbyll vetё,plaga	u	mbyll	vetё,wound	MID	heal	INT,The wound healed by itself.,,,"<i>u</i>: verbal reflexive (medium), used as anti-causative marker; <i>vetё</i>: anti-causative use ('by itself')",adv exclusive,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie."
197,DNS,kong-en selv var til stede,kong-en	selv	var	til	stede,king-ART	INT	was	PREP	place,The King himself was present.,,,,adnominal,"Jones, W. Glyn & Kirsten Gade (1981). <i>Danish. A Grammar</i>. Copenhagen: Gyldendal."
198,DNS,kong-en var selv til stede,kong-en	var	selv	til	stede,king-ART	was	INT	present,The King was present himself.,,,,adv exclusive,"Jones, W. Glyn & Kirsten Gade (1981). <i>Danish. A Grammar</i>. Copenhagen: Gyldendal."
199,BLG,napravi go sam!,napravi	go	sam!,do.PFCT	it	INT.NOM,Do it yourself!,,,,adv exclusive,"Nikolova-Galabova, Z. & K. Galabov (1968). Bălgarsko-nemski frazeologičen rečnik. Sofia: Nauka i izkustvo."
200,MJS,avan svantam kaarə virru enre kaarə upayoogikkunnu,avan	svantam	kaarə	virru	enre	kaarə	upayoogikkunnu,he	OWN	car	sold	I.GEN	car	uses,He sold his own car. He uses my car.,,,,own,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge."
201,KJV,intha janar-ige avarige-nee / tamage-nee naachike aaga-beeku,intha	janar-ige	avarige-nee	/	tamage-nee	naachike	aaga-beeku,such	people-DAT	they.DAT-EMPH/	TAAN.DAT.PL-EMPH	shame	should	happen,Such people should themselves feel ashamed.,,,probably adverbial inclusive use (<i>also</i>),adv inclusive,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
202,KJV,raama makkaLanna avan-ee/taan-ee hoDedanu,raama	makkaLanna	avan-ee/taan-ee	hoDedanu,Rama	children	he-EMPH/TAAN-EMPH	beat,Rama beat the children himself.,,,,adv exclusive,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
204,KJV,[naanu tannann-ee nooDide anta] raama saadhisidanu,[naanu	tannann-ee	nooDide	anta]	raama	saadhisidanu,[I	REFL.ACC-EMPH	saw	COMP]	Rama	insisted,Rama insisted that I had seen him (=Rama).,,,logophoric or long-distance bound use of <i>taan</i>,reflexive,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
205,MLS,sar ghadu tieghu nnifsu,sar	ghadu	tieghu	nnifsu,became	enemy	of.his	INT.PRON.3SG.MASC,He became his own enemy.,,,,own,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge."
206,MLS,smajt lil-u stess jghid hekk,smajt	lil-u	stess	jghid	hekk,I.heard	OM-PRON.3SG	INT	says	so,I heard him say so himself.,,,OM: object marker,adv exclusive,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge."
207,LIT,pažìnk pàts savè!,pažìnk	pàts	savè!,recognize.IMP	INT.2SG	REFL.ACC,Recognise yourSELF!,,,reflexive <i>savè</i> is reinforced by <i>pàts</i>,reflexive,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag."
208,LIT,jìs dìrbi sàvo dárba,jìs	dìrbi	sàvo	dárba,he	is.doing	his	work.,He is doing his work.,,,<i>sàvo</i> used as possessive adjective,own,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag."
209,MEX,mahita-tena i Koto,mahita-tena	i	Koto,sees-REFL	NA	Koto,Koto can see himself.,,,NA: nominal article; determiner which is used only with proper names; <i>tena</i> incorporated into the verb (cf. Zribi-Hertz & Rajaonarisoa 1999); sometimes with middle semantics; this is probably responsible for the modal component (<i>can see himself</i>),reflexive,"Zribi-Hertz, A. & F. Rajaonarisoa (1999). Reflexive Marking as Noun Incorporation: Evidence from French and Malagasy. Ms., 39 pp. Paris."
210,MEX,mahita ny tena-ny i Koto,mahita	ny	tena-ny	i	Koto,sees	ART	REFL-3.POSS	NA	Koto,Koto sees his self. (his body).,,,"NA: nominal article; determiner which is used only with proper names<br> <i>tena</i> as lexical N-head within a DP (<i>possessive tena</i>)<br> possessive <i>tena</i> is not syntactically incorporated into the verb (cf. Zribi-Hertz 1999)<br> it indicates semantic reflexivity as opposed to incorporated <i>tena</i>, which tends to show middle semantics",reflexive,"Zribi-Hertz, A. & F. Rajaonarisoa (1999). Reflexive Marking as Noun Incorporation: Evidence from French and Malagasy. Ms., 39 pp. Paris."
211,MEX,nikasa hanavo-tena i Paoly,nikasa	hanavo-tena	i	Paoly,intended	will.save-REFL	NA	Paul,Paul intended to save himself.,,,NA: nominal article; determiner which is used only with proper names,reflexive,"Randriamasimanana, Charles (1986). The Causatives of Malagasy. Honolulu: The University of Hawaii."
212,MEX,tonga izy tena-ny,tonga	izy	tena-ny,arrived	he	INT-POSS.3SG,He himself arrived. (lit.: arrived he his-body),,,<i>tena-ny</i> is used in association with pronominals; if the preceding nominal is an NP <i>mihitsy</i> (<i>indeed</i>) is used,adnominal,"Randriamasimanana, Charles (1986). The Causatives of Malagasy. Honolulu: The University of Hawaii."
214,ABK,à-jɣab l-xatà,à-jɣab	l-xatà,ART-girl	POSS.3SG-INT,the girl herself,,,"<i>-xatà</i> follows its head noun, although the adverbial may open or close the NP as a whole",adnominal,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge."
215,BLG,mija se,mija	se,I.wash	REFL,I wash myself.,,,,reflexive,"Nikolova-Galabova, Z. & K. Galabov (1968). Bălgarsko-nemski frazeologičen rečnik. Sofia: Nauka i izkustvo."
216,BLG,toj misli samo za [sebe si],toj	misli	samo	za	[sebe	si],he	thinks	only	PREP	[REFL],He only thinks of himself.,,,,reflexive,"Nikolova-Galabova, Z. & K. Galabov (1968). Bălgarsko-nemski frazeologičen rečnik. Sofia: Nauka i izkustvo."
217,BLG,toj be predostaven na sam-ija sebe si,toj	be	predostaven	na	sam-ija	sebe	si,he	was	given	PREP	INT-DAT	REFL	REFL/CL,He was left to himself.,,,,reflexive,"Nikolova-Galabova, Z. & K. Galabov (1968). Bălgarsko-nemski frazeologičen rečnik. Sofia: Nauka i izkustvo."
218,BLG,sam-ijat az govorix s nego,sam-ijat	az	govorix	s	nego,INT-DEF	I	spoke	with	him,I myself spoke to him.,,,,adnominal,"Nikolova-Galabova, Z. & K. Galabov (1968). Bălgarsko-nemski frazeologičen rečnik. Sofia: Nauka i izkustvo."
219,DUT,Hij voelde zich wegglijden,Hij	voelde	zich	wegglijden,he	felt	REFL	slide.away,He felt himself slip.,,,,reflexive,"Reuland, E. (2000). The fine structure of grammar: Anaphoric relations. In: Frajzyngier, Z. & Curl, T. (eds.), Reflexives - Forms and Functions. Amsterdam: Benjamins."
220,DUT,Jan wast zich,Jan	wast	zich,Jan	washes	REFL,Jan washes himself,,,,reflexive,source of information: Jenny Audring (p.c.)
221,DUT,ik wil de directeur zélf spreken,ik	wil	de	directeur	zélf	spreken,I	want	ART	director	INT	talk.to,I want to talk to the director himself.,,,&lt;é&gt;: Dutch orthographic convention commonly used to mark stress,adnominal,source of information: Jenny Audring (p.c.)
222,DUT,de universiteit zelf bereik je met de bus,de	universiteit	zelf	bereik	je	met	de	bus,ART	university	INT	reach	you	with	ART	bus,The university itself is reached by bus.,,,,adnominal,source of information: Jenny Audring (p.c.)
223,DUT,Jan haatte zichzelf,Jan	haatte	zichzelf,Jan	hated	REFL,Jan hated himself.,,,,reflexive,source of information: Jenny Audring (p.c.)
224,FRN,Pierre a vendu sa propre maison,Pierre	a	vendu	sa	propre	maison,Pierre	has	sold	his	OWN	house,Pierre has sold his own house.,,,,own,questionnaire (anonymous source informant)
225,GRK,i ifiyénya ?isíase ton eaftó tis,i	ifiyénya	?isíase	ton	eaftó	tis,the.NOM.FEM.SG	Ephigenia.NOM	sacrificed	the.ACC.SG.MASC	REFL	PRO.GEN.SG.MASC,Ephigenia sacrificed herself.,,,nominal strategy,reflexive,"Manney, Linda (1998). The Reflexive Archetype and its various realizations in Modern Greek. <i>Studies in Language</i> 22:1."
226,GRK,i ifiyénya (afto-)?isíastike,i	ifiyénya	(afto-)?isíastike,the.NOM.FEM.SG	Ephigenia.NOM	(self-)sacrificed.MID,Ephigenia sacrificed herself.,,,weak reflexive strategy (see comments above),reflexive,"Manney, Linda (1998). The Reflexive Archetype and its various realizations in Modern Greek. <i>Studies in Language</i> 22:1."
227,GRK,eyó o ídhios to ékana,eyó	o	ídhios	to	ékana,I.NOM	the.NOM.SG.MASC	INT.NOM.SG.MASC	it	did,I myself did it.,,,,adnominal,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm."
228,GRK,eyó to ékana o ídhios,eyó	to	ékana	o	ídhios,I.NOM	it	did	the.NOM.SG.MASC	INT.NOM.SG.MASC,I myself did it.,,,,adnominal,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm."
229,GRK,(aftí) i ídhia to ékane,(aftí)	i	ídhia	to	ékane,(self)	the.NOM.SG.FEM	INT.NOM.SG.FEM	it	did,She herself did it.,,,,adnominal,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm."
230,GRK,o eaftós mu/su/tu ftéi,o	eaftós	mu/su/tu	ftéi,the.NOM.SG.MASC	INT.NOM.SG.	my/your/his	blames,Myself/Yourself/Himself is to blame.,,,<i>o eaftós tu</i> in subject position: pragmatically marked option (only with experiencer verbs (?) or unaccusatives (?)),reflexive,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm."
231,GRK,to dhikó mu (to) vivlío,to	dhikó	mu	(to)	vivlío,the.NOM.SG.NEUT	OWN.NOM.SG.NEUT	my	(the)	book.SG.NEUT,my own book,,,,own,"Joseph, Brian D. and Irene Philippaki-Warburton (1987). <i>Modern Greek</i>. London: Croom Helm."
232,NCI,neʔwatl no-noʔmaʔ nokontlapalotiw in mo-kokoxka taʔ-tsin,neʔwatl	no-noʔmaʔ	nokontlapalotiw	in	mo-kokoxka	taʔ-tsin,I	POSS.1SG-INT	I.will.visit.him	ART	POSS.2SG-sick	father-HON,I myself will go and visit your sick father.,,,&lt;tl&gt;: voiceless lateral release<br> <i>nonoʔmaʔ</i> is probably ambiguous between adnominal and adverbial reading here,adnominal,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno."
233,NCI,tel ka i-noʔmaʔ i-tlama:se:walis-tika omokixti omokneli,tel	ka	i-noʔmaʔ	i-tlama:se:walis-tika	omokixti	omokneli,but	because	POSS.3SG-INT	POSS.3SG-penances-INSTR	had.complied	had.saved.himself,"Yet it was because he himself, by his penances, had complied and saved himself.",,,,adnominal,"Fray Bernadino de Sahagún: Codex Florentino, Book VI, 71."
234,NCI,neʔwatl no-noʔmaʔ nokontlapalotiw in mo-kokoxka taʔ-tsin,neʔwatl	no-noʔmaʔ	nokontlapalotiw	in	mo-kokoxka	taʔ-tsin,I	POSS.1SG-INT	I.will.visit.him	ART	POSS.2SG-sick	father-HON,I myself will go and visit your sick father.,,,&lt;tl&gt;: voiceless lateral release<br> <i>nonoʔmaʔ</i> is probably ambiguous between adnominal and adverbial reading,adv exclusive,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno."
235,NCI,no-neʔwia:n no-tlatlakol,no-neʔwia:n	no-tlatlakol,POSS.1SG-INT	POSS.1SG-fault,my own fault,,,,own,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno."
236,NCI,mo-tlaʔsoʔtla,mo-tlaʔsoʔtla,REFL.3-love,"(S)he loves him-/herself, they love each other.",,,,reflexive,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno."
237,NCI,no-noʔmaʔ ni-k-no-maka,no-noʔmaʔ	ni-k-no-maka,POSS.1SG-INT	SBJ.1SG-OBJ.3SG-REFL.1SG-give,I give it to myself.,,,,reflexive,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno."
238,NCI,ki-čičiwa in kapitan wel yeʔwatl,ki-čičiwa	in	kapitan	wel	yeʔwatl,OBJ.3SG-adorn	ART	captain	INT	he,They adorned the captain himself.,,,<i>wel</i>: restricted to referents of high social rank,adnominal,"Fray Bernadino de Sahagún: Codex Florentino, Book 12, V, 15"
239,HNG,meg-védte magá-t / saját magá-t védte meg,meg-védte	magá-t	/	saját	magá-t	védte	meg,PART-he.defended	INT-POSS.3SG.ACC	/	own	INT-POSS.3SG.ACC	he.defended	PART,He deFENded himself. / He defended himSELF.,,,,reflexive,questionnaire (source of information: Ildikó Reinhardt)
240,ABK,à-jɣab l-xatà-g’ə̀,à-jɣab	l-xatà-g’ə̀,ART-girl	POSS.3SG-INT-even,even the girl herself,,,"the emphatic clitic <i>-g'E</i> ('even', 'also') may also be suffixed either to the noun or to the quantifier",scalar focus particle,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge."
241,HNG,ti mos-akod-tok,ti	mos-akod-tok,you	wash-REFL-2PL,You are washing yourselves.,,,,reflexive,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge."
242,HNG,Anna látta hogy a saját könyv-e is elveszett,Anna	látta	hogy	a	saját	könyv-e	is	elveszett,Anna	saw	that	ART	own	book-POSS.3SG	also	got.lost,Anna saw that her own books also got lost.,,,,own,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge."
243,HNG,Éva az o kutyá-já-val játszik én a maga-m-é-val,Éva	az	o	kutyá-já-val	játszik	én	a	maga-m-é-val,Eve	ART	(s)he	dog-POSS.3SG-INST	(s)he.plays	I	ART	REFL-POSS.1SG-NPS-INST,Eve is playing with her dog and I with my own.,,,INST: Instrumental; NPS: Nominal Possessor Suffix,own,"Kenesei, István, Robert M. Vago, and Anna Fenyvesi (1998). <i>Hungarian</i>. London/New York: Routledge."
244,GJR,hu pote surat gayo,hu	pote	surat	gayo,I	INT.NOM	Surat	went,I myself went to Surat.,,,,adnominal,"Mistry (2000). Lexical anaphors and pronouns in Gujarati. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
246,ZOC,N-neʔkɨ-ʔis ndzɨhku ndık,N-neʔkɨ-ʔis	ndzɨhku	ndık,1.POSS-INT-ERG	I.made.it	my.house,I have built my house myself.,,,&lt;N&gt;: indicates prenasalization of the following consonant,adv exclusive,Volker Gast (f.w.)
247,ZOC,Y-kenu Y-win espeho-ʔohmo teʔ Juan-ʔis,Y-kenu	Y-win	espeho-ʔohmo	teʔ	Juan-ʔis,3.ERG-saw	3.POSS-REFL	mirror-in	ART	John-ERG,John saw himself in the mirror.,,,,reflexive,Volker Gast (f.w.)
