Nr,language,pov,original,gloss,translation,source,page,comments
288,Finnish,adv exclusive,ovi</td><td>sulke-utu-i</td><td>itse-stä-än,door.NOM</td><td>close-REFL-PAST.3SG</td><td>REFL-ELA-POSS.3SG,The door closed by itself.,Pia P&auml;ivi&ouml; (p.c.),-,ELA: elative case <i>from inside</i>; anti-causative: probably structurally analogous to Danish <i>sig selv</i>
289,Dutch,adv exclusive,zij</td><td>hebben</td><td>het</td><td>huis</td><td>zelf</td><td>geverfd,they</td><td>have</td><td>ART</td><td>house</td><td>INT</td><td>painted,They painted the house themselves.,"Donaldson, Bruce (1997). <i>Dutch: A Comprehensive Grammar</i>. London: Routledge.",206,--
290,Finnish,scalar focus particl,jopa/itse</td><td>kansleri</td><td>tul-i</td><td>kokoukseen,even</td><td>chancellor</td><td>come-PAST.3SG</td><td>meeting.ILL,Even the chancellor came to our meeting.,Pia P&auml;ivi&ouml; (p.c.),-,ILL: illative case
291,Danish,adv exclusive,Santiago</td><td>dræbte</td><td>selv</td><td>fisk-en,Santiago</td><td>killed</td><td>INT</td><td>fish-ART,Santiago killed the fish himself.,questionnaire (source informant: Nanna Brandenhoff),-,--
292,Catalan,adnominal,el</td><td>rei</td><td>mateix</td><td>ho</td><td>va</td><td>dir,ART</td><td>king</td><td>INT.MASC.SG</td><td>it</td><td>AUX.3SG</td><td>say.INF,The king himself said it.,"Hualde, Jose Ignacio (1992). <i>Catalan</i>. London: Routledge.",123,<i>ho</i>: neuter third person clitic; past tense: present auxiliary + INF
295,Catalan,reflexive,en</td><td>Joan</td><td>sempre</td><td>explica</td><td>històries</td><td>sobre</td><td>{si</td><td>mateix</td><td>/</td><td>ell</td><td>mateix},ART</td><td>John</td><td>always</td><td>explain</td><td>stories</td><td>about</td><td>REFL</td><td>INT.MASC.SG</td><td>/</td><td>he</td><td>INT.MASC.SG,John always tells stories about himself.,"Hualde, Jose Ignacio (1992). <i>Catalan</i>. London: Routledge.",179,--
296,Mezquital Otomi,adv exclusive,ra</td><td>šua</td><td>bi</td><td>&#146;øki</td><td>s&#603;&#780;h&#603;&#769</td><td>rá</td><td>&#331;gu&#780;,ART</td><td>Juan</td><td>3.PRET</td><td>make</td><td>INT</td><td>his</td><td>house,John made his house by himself.,Volker Gast (f.w.),-,--
297,Catalan,adv exclusive,ensenya</td><td>els</td><td>seus</td><td>fills</td><td>[ell</td><td>mateix],teaches</td><td>ART.3PL.MASC</td><td>his</td><td>children</td><td>he</td><td>INT.MASC.SG,He teaches his children himself.,source of information: Roger Garcia Coll,-,<i>mateix</i> is phonologically dependent on a preceding nominal; therefore AVE combines a non-clitic pronoun and mateix
298,Finnish,reflexive,tunne</td><td>itse-si!,know</td><td>REFL-POSS.2SG,Know thyself!,"Hakulinen, Lauri (1960). <i>Handbuch der Finnischen Sprache</i>. Wiesbaden: Otto Harrassowitz.",-,--
299,Danish,adv exclusive,dør-en</td><td>åbnede</td><td>af</td><td>sig</td><td>selv,door-ART</td><td>opened</td><td>PREP</td><td>REFL</td><td>INT,The door opened by itself,questionnaire (source informant: Nanna Brandenhoff),-,--
300,Catalan,own,en</td><td>Joan</td><td>va</td><td>vendre</td><td>el</td><td>seu</td><td>(propi)</td><td>llibre,ART</td><td>John</td><td>AUX.3SG</td><td>sell.INF</td><td>ART</td><td>his</td><td>OWN</td><td>book,John sold his own book.,"Hualde, Jose Ignacio (1992). <i>Catalan</i>. London: Routledge.",179,with <i>propi</i> only reflexive interpretation of possessor possible
301,Tukang Besi,adv exclusive,karama-su</td><td>ku-laha-&#660;e</td><td>na</td><td>beka-no,INT-POSS.1SG</td><td>1SG-search-3OBJ</td><td>NOM</td><td>cat-POSS.3SG,I searched for the cat myself.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",417,-
305,Dutch,refl,Jan</td><td>zag</td><td>zichzelf,Jan</td><td>saw</td><td>REFL,Jan saw himself.,Jenny Audring (p.c.),-,-
306,Pitjantjatjara,reflexive,ngayulu-Na-tju</td><td>waka-nu,1SG.NOM(full)-1SG.NOM(clitic)-REFL.1SG</td><td>spear-PST,I speared myself.,"Bowe, Heather (1990). <i>Categories, constituents and constituent order in Pitjantjatjara</i>. London: Routledge.",13-14,capital letters indicate retroflex articulation
307,Pitjantjatjara,reflexive,waka-Nu-Na-tju,spear-PST-1SG.NOM-REFL.1SG,I speared myself.,"Bowe, Heather (1990). <i>Categories, constituents and constituent order in Pitjantjatjara</i>. London: Routledge.",13-14,capital letters indicate retroflex articulation
310,Pitjantjatjara,adv exclusive,ngayulu-Na-tju</td><td>puNu</td><td>katingu,1SG.NOM(full)-1SG.NOM(clitic)-1REFL</td><td>wood</td><td>brought,I brought the wood all by myself.,"Bowe, Heather (1990). <i>Categories, constituents and constituent order in Pitjantjatjara</i>. London: Routledge.",13,capital letters indicate retroflex articulation
312,Bambara,adnominal,màsake</td><td>y&#603;&#768;r&#603;</td><td>yé</td><td>ù</td><td>fò,king</td><td>INT</td><td>PST</td><td>them</td><td>talk.to,The king himself welcomed them/Even the king welcomed them.,"Kastenholz, R. (1998). <i>Grundkurs Bambara (Manding) mit Texten</i>. Köln: Köppe.",118,--
313,Bambara,reflexive,à</td><td>yé</td><td>í</td><td>sìgi,he</td><td>PST</td><td>REFL</td><td>sit.down,Ha sat down.,"Kastenholz, R. (1998). <i>Grundkurs Bambara (Manding) mit Texten</i>. Köln: Köppe.",118,---
314,Bambara,adv exclusive,Musa</td><td>y&#603&#768;r&#603;</td><td>nàna,Musa</td><td>INT</td><td>came.,Musa came personally.,"Ebermann, E. (1986). <i>Kleines Wörterbuch der Bambara-Sprache</i>. Wien: Universität Wien.",179,--
315,Bambara,adnominal,Usman</td><td>y&#603&#768;r&#603;</td><td>yé</td><td>tobili</td><td>kè,Usman</td><td>INT</td><td>PST</td><td>food</td><td>make,Usman himself has cooked.,"Ebermann, E. (1986). <i>Kleines Wörterbuch der Bambara-Sprache</i>. Wien: Universität Wien.",215,--
316,Amele,reflexive,ija</td><td>ija-dodoc</td><td>quga,I</td><td>I-REFL</td><td>hit,I hit myself.,John Roberts (p.c.),-,-
317,Amele,adnominal,meme-g</td><td>uqa-dodoc</td><td>cal</td><td>men,father-POSS.3SG</td><td>he-INT</td><td>dead</td><td>become(remote</td><td>past),His father himself died.,John Roberts (p.c.),-,-
318,Amele,reflexive,meme-g</td><td>uqa-dodoc</td><td>qon,father-POSS.3SG</td><td>he-REFL</td><td>hit(remote</td><td>past),His father hit himself.,John Roberts (p.c.),-,--
319,Amele,adnominal,jo</td><td>uqa-dodoc,house</td><td>it-INT,the house itself,John Roberts (p.c.),-,--
320,Fulani,reflexive,mi</td><td>nawnii</td><td>hoore</td><td>am,I</td><td>injured</td><td>REFL</td><td>my,I injured myself.,"Jungraithmayr, H. & A. Al-Amin (1989). <i>Einführung in die Ful-Sprache</i>. Berlin: Dietrich Reimer.",163,---
321,Fulani,adv exclusive,mi</td><td>warii</td><td>bee</td><td>hoore</td><td>am,I</td><td>came</td><td>[with</td><td>head</td><td>my]=INT,I came myself,"Jungraithmayr, H. & A. Al-Amin (1989). <i>Einführung in die Ful-Sprache</i>. Berlin: Dietrich Reimer.",163,strategy of adverbial intensification similar to that of Arabic and Hebrew
322,Fulani,reflexive,bello</td><td>loot-ake,Bello</td><td>wash-MID.PFCT,Bello washed.,"Jungraithmayr, H. & A. Al-Amin (1989). <i>Einführung in die Ful-Sprache</i>. Berlin: Dietrich Reimer.",100,<i>loot-</i> is a transitive stem (<i>Bello lootii limce</i> 'Bello washed the laundry'; the middle forms vary with tense/aspect categories
324,Norwegian,adv exclusive,jeg</td><td>skal</td><td>hente</td><td>det</td><td>selv,I</td><td>shall</td><td>fetch</td><td>it</td><td>INT,I shall fetch it myself.,"Strandskogen, &Aring;se-Berit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge.",115,-
325,Norwegian,adnominal,det</td><td>er</td><td>mange</td><td>parkeringsplasser</td><td>i</td><td>selve</td><td>Oslo,there</td><td>are</td><td>many</td><td>car-parks</td><td>in</td><td>INT</td><td>Oslo,There are many car-parks in Oslo itself.,"Strandskogen, &Aring;se-Berit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge.",116,---
326,Hausa,adv exclusive,nii</td><td>dà</td><td>kâina</td><td>[naa</td><td>yi</td><td>aikìì],I</td><td>with</td><td>INT/REFL.1SG</td><td>[I</td><td>have</td><td>worked],I have worked myself.,"Schamberger, U. and F. Stoiber (1994). <i>Einführung in das Hausaa</i>. Wien: Institut für Afrikanistik und Ägyptologie.",192,---
327,Norwegian,scalar focus particle,jeg</td><td>fortalte</td><td>ham</td><td>at</td><td>selv</td><td>min</td><td>bror</td><td>kunne</td><td>klare</td><td>det,I</td><td>told</td><td>him</td><td>that</td><td>even</td><td>my</td><td>brother</td><td>can</td><td>do</td><td>that,I told him that even my brother can do that.,"Strandskogen, &Aring;se-Berit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge.",116,-
328,Hausa,adv exclusive,kee</td><td>dà</td><td>kânkì</td><td>[kikà</td><td>tàfi</td><td>kààsuwaa],you</td><td>with</td><td>INT/REFL.2SG</td><td>[you</td><td>went</td><td>to.the.market],You went to the market yourself.,"Schamberger, U. and F. Stoiber (1994). <i>Einführung in das Hausaa</i>. Wien: Institut für Afrikanistik und Ägyptologie.",192,---
330,Norwegian,reflexive,han</td><td>vasker</td><td>seg,he</td><td>washes</td><td>REFL,He washes himself.,"Strandskogen, &Aring;se-Berit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge.",106,--
331,Hausa,adv exclusive,[zaa</td><td>mù</td><td>zoo]</td><td>muu</td><td>dà</td><td>kânmù,[we</td><td>will</td><td>come]</td><td>we</td><td>with</td><td>INT/REFL.1PL,We will come by ourselves.,"Jaggar, P.J. (2001). <i>Hausa</i>. Amsterdam: Benjamins.",388,--
332,Hausa,adnominal,nii</td><td>kâinaa</td><td>[naa</td><td>san</td><td>àbîn</td><td>yî],I</td><td>INT.1SG</td><td>[I</td><td>know</td><td>what</td><td>to.do],I myself know what to do.,"Newman, R.M. (1990). <i>An English-Hausa Dictionary</i>. New Haven & London: Yale University Press.",238,---
333,Hausa,reflexive,[sun</td><td>cùùci]</td><td>kânsù,[they</td><td>cheated]</td><td>REFL.3PL,They cheated themselves.,"Newman, R.M. (1990). <i>An English-Hausa Dictionary</i>. New Haven & London: Yale University Press.",315,---
334,Hausa,adv exclusive,[naa</td><td>gyaarà</td><td>mootàà]</td><td>dà</td><td>kâinaa,[I</td><td>fixed</td><td>car]</td><td>with</td><td>INT/REFL.1SG,I fixed the car myself.,"Newman, R.M. (1990). <i>An English-Hausa Dictionary</i>. New Haven & London: Yale University Press.",315,---
335,Swedish,own,han</td><td>har</td><td>ett</td><td>eget</td><td>hus,he</td><td>has</td><td>an</td><td>own</td><td>house,He has a house of his own.,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge.",95,--
336,Swedish,reflexive,jag</td><td>har</td><td>skurit</td><td>mig,I</td><td>have</td><td>cut</td><td>me,I have cut myself.,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge.",146,(thanks are due to Michael Reißler for corrections in this example)
337,Lingala,reflexive,na-ko-mí-tú-na,1SG-FUT-REFL-ask-TAM,I will ask myself.,"Meeuwis, M. (1998). <i>Lingala</i>. München/Newcastle: LINCOM.",27,TAM: tense/aspect/mood
338,Swedish,reflexive,hon</td><td>sköt</td><td>sig,she</td><td>shot</td><td>REFL,She shot herself.,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge.",146,--
339,Lingala,reflexive,to-ko-mí-pé-sa</td><td>mbóngo,1PL-FUT-REFL-give-TAM</td><td>money,We will give ourselves money.,"Meeuwis, M. (1998). <i>Lingala</i>. München/Newcastle: LINCOM.",27,TAM: tense/aspect/mood
340,Lingala,adnominal,yé</td><td>m&#596;&#769;k&#596;&#769;,he</td><td>INT,"he himself, by himself, only he","Carrington, J.F. and M. Guthrie (1988). <i>Lingala - Grammar and Dictionary</i>. Didcot: Baptist Missionary Society.",31,--
341,Icelandic,reflexive,hún</td><td>skammast</td><td>sín,he</td><td>is.ashamed.of</td><td>REFL,He is ashamed of himself.,"Kress, Bruno (1982). <i>Isländische Grammatik</i>. Leipzig: VEB Verlag Enzyklopädie.",105,<i>sín</i>: genitive reflexive pronoun
342,Icelandic,adnominal,verkalýðshreyfingin</td><td>sjálf,the.labour.movement</td><td>INT,the labour movement itself,"Kress, Bruno (1982). <i>Isländische Grammatik</i>. Leipzig: VEB Verlag Enzyklopädie.",173,<i>sig</i> is also used in middle contexts; there is also a verbal middle ending <i>-s</i> (&lt; <i>sig</i>)
343,Norwegian,reflexive,Jon</td><td>foraktet</td><td>seg</td><td>selv,Jon</td><td>despised</td><td>REFL</td><td>INT,Jon despised himself.,"Hellan, l. (1988). <i>Anaphora in Norwegian and the Theory of Grammar</i>. Dordrecht: Foris.",104,"with typically other-directed verbs, <i>selv</i> is obligatory"
344,Kinyarwanda,reflexive,umukoôbwa</td><td>á-r-íi-reeb-a,girl</td><td>3SG-PRES-REFL-watch-IMPF,The girl is watching herself.,"Kimeniy, A. (1978). <i>A Relational Grammar of Kinyarwanda</i>. Berkeley: University of California Press.",63,
345,Kinyarwanda,reflexive,umuhuûngu</td><td>á-r-íiy-erek-a</td><td>ama-shusho,boy</td><td>3SG-PRES-REFL-show-IMPF</td><td>PL-picture,The boy is showing pictures to himself.,"Kimeniy, A. (1978). <i>A Relational Grammar of Kinyarwanda</i>. Berkeley: University of California Press.",63,
346,Kinyarwanda,own,aba-gabo</td><td>bá-r-íiy-úubak-ir-a</td><td>inzu,PL-man</td><td>3PL-PRES-REFL-build-APPL-IMPF</td><td>house,The men are building their own house.,"Kimeniy, A. (1978). <i>A Relational Grammar of Kinyarwanda</i>. Berkeley: University of California Press.",64,
354,Icelandic,reflexive,Jon</td><td>sagði</td><td>þeim</td><td>að</td><td>María</td><td>elski</td><td>sig,Jon</td><td>said</td><td>them</td><td>that</td><td>Mary</td><td>love.SUBJ</td><td>REFL,Jon told them that Mary loves him.,"Pica, P. (1991) On the interaction between antecedent-government and binding: the case of long-distance reflexivization. In Koster & Reuland (eds.) Long-distance Anaphora.",119,long-distance bound use of <i>sig</i>
355,Icelandic,reflexive,María</td><td>skipað</td><td>Harald</td><td>að</td><td>raka</td><td>sig,Maria</td><td>ordered</td><td>Harald</td><td>to</td><td>shave</td><td>REFL,María ordered Harald to shave her/himself.,"Wexler, K. & Manzini, R. (1987). Parameters, binding theory, and learnability. Linguistic Inquiry, 417.",-,long-distance bound use of <i>sig</i>
356,Somali,reflexive,wày</td><td>is</td><td>dishay,she</td><td>REFL</td><td>killed,She killed herself.,"Saaed, J. (1999). <i>Somali</i>. Amsterdam: Benjamins.",78,---
357,Somali,reflexive,wuu</td><td>is-ká</td><td>warramay,he</td><td>REFL-about</td><td>told.news,He told news about himself.,"Saaed, J. (1999). <i>Somali</i>. Amsterdam: Benjamins.",78,---
362,Oromo,reflexive,iníi</td><td>íf</td><td>d&#146;owe,he</td><td>REFL</td><td>hit,He hit himself.,"Owens, J. (1985). <i>A Grammar of Harar Oromo (Northern Ethiopia)</i>. Hamburg: Buske.",187,Harar Oromo
363,Oromo,reflexive,isíi-túu</td><td>if</td><td>d&#146;íite,she-EMPH</td><td>REFL</td><td>kicked,It is her who kicked herself.,"Owens, J. (1985). <i>A Grammar of Harar Oromo (Northern Ethiopia)</i>. Hamburg: Buske.",187,Harar Oromo
364,Oromo,reflexive,ifii-fí-n</td><td>maná</td><td>bitadd&#146;e,REFL-DAT-1</td><td>house</td><td>bought,I bought myself a house.,"Owens, J. (1985). <i>A Grammar of Harar Oromo (Northern Ethiopia)</i>. Hamburg: Buske.",188,Harar Oromo
365,Oromo,reflexive,inni</td><td>of</td><td>ajjeese,he</td><td>REFL</td><td>killed,He killed himself.,"Griefenow-Mewis, C. (1994). <i>Lehrbuch des Oromo</i>. Köln: Köppe.",218,---
366,Oromo,adnominal,ofii</td><td>kooti</td><td>nan</td><td>dhufe,INT</td><td>1.POSS</td><td>I</td><td>have.come,I myself have come.,"Griefenow-Mewis, C. (1994). <i>Lehrbuch des Oromo</i>. Köln: Köppe.",218,--
367,Tukang Besi,reflexive,ku-&#660;ita</td><td>te</td><td>karama-su,I-see</td><td>NNOM</td><td>REFL-POSS.1SG,I saw myself.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",418,NNOM: non-nominative core argument
368,Oromo,adv exclusive,ofii</td><td>saa-tiin</td><td>dhufe,INT</td><td>3.POSS-INSTR</td><td>he.came.,He came (by) himself.,"Griefenow-Mewis, C. (1994). <i>Lehrbuch des Oromo</i>. Köln: Köppe.",218,INSTR: instrumental
369,Oromo,adv exclusive,mataa</td><td>saa-tiin</td><td>dhufe,he</td><td>3.POSS-INSTR</td><td>came.,He came (by) himself.,"Griefenow-Mewis, C. (1994). <i>Lehrbuch des Oromo</i>. Köln: Köppe.",218,--
370,Tukang Besi,adnominal,te</td><td>beka</td><td>ala&#660;a</td><td>na</td><td>i-laha-su,NNOM</td><td>cat</td><td>just</td><td>NOM</td><td>OM-searching-POSS.1SG,It is the cat itself that is the one I’m looking for.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",417,NNOM: non-nominative core argument; OM: object marker used in (nominalized) relative clauses
371,Tukang Besi,adv exclusive,pe&#660;esa-su</td><td>ku-&#660;ita</td><td>te</td><td>kalambe,alone-POSS.1SG</td><td>I-see</td><td>NNOM</td><td>young.girl,I alone saw the girl.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",419,NNOM: non-nominative core argument
372,Koyraboro Senni,adnominal,agey</td><td>hundey</td><td>ka</td><td>diy-aa,I</td><td>INT</td><td>FOC</td><td>see-3SG.OBJ,It was I myself who saw him.,"Heath, Jeffrey (1999b). <i>A Grammar of Koyraboro (Koroboro) Senni</i>. Köln: Rüdiger Köppe Verlag.",266,--
373,Koyraboro Senni,adv exclusive,waati&nbsp;din</td><td>ay</td><td>kaa</td><td>ka</td><td>taasa</td><td>agey</td><td>hinne,then</td><td>I</td><td>come</td><td>INF</td><td>serve</td><td>I</td><td>alone,Then I came and served it (the food) by myself.,"Heath, Jeffrey (1999b). <i>A Grammar of Koyraboro (Koroboro) Senni</i>. Köln: Rüdiger Köppe Verlag.",267,--
374,Somali,adnominal,isaga</td><td>naft-iisa</td><td>ayaa</td><td>yiri</td><td>waxay</td><td>eheed</td><td>run,he</td><td>INT-POSS.3SG</td><td>FOC</td><td>said</td><td>FOC</td><td>was</td><td>true.</td><td>,He himself said that it was true.,"<a href=""http://www.fortunecity.com/bally/durrus/153/somali7.html"">http://www.fortunecity.com/bally/durrus/153/somali7.html</a>",-,<i>eheed</i>: alternative spelling for <i>ahayd</i>
375,Koyraboro Senni,reflexive,a</td><td>mba</td><td>šela&#331;</td><td>[&#331;ga</td><td>bo&#331;]</td><td>še</td><td>agay</td><td>da</td><td>ga</td><td>šela&#331;</td><td>[ay</td><td>bo&#331;]</td><td>še</td><td>,he</td><td>AUX</td><td>speak</td><td>[his</td><td>head]=REFL</td><td>DAT</td><td>I</td><td>EMPH</td><td>IMPF</td><td>speak</td><td>[my</td><td>head]=REFL</td><td>DAT,"He was speaking to himself, and I was speaking to myself.","Heath, Jeffrey (1999b). <i>A Grammar of Koyraboro (Koroboro) Senni</i>. Köln: Rüdiger Köppe Verlag.",352,--
376,Russian,adv inclusive,sam</td><td>ty</td><td>krysa,INT.MASC.SG</td><td>you</td><td>rat,You are a rat yourself.,Katerina Lvovna in <i>Lady Macbeth of Mzensk</i> by D. Shostakovich.,-,--
378,Russian,adv exclusive,on</td><td>sam</td><td>prišel,he</td><td>INT.SG.MASC</td><td>came,He came himself.,"<i>Russisch-Deutsches Wörterbuch</i>. Puschkin-Verlag Köln, 1991.",558,--
380,Russian,adnominal,govorit’</td><td>s</td><td>sam-im</td><td>avtorom,talk</td><td>with</td><td>INT-INSTR</td><td>author.INSTR.SG,to talk to the author himself,"<i>Russisch-Deutsches Wörterbuch</i>. Puschkin-Verlag Köln, 1991.",558,INSTR: instrumental case
381,Russian,adv inclusive,ja</td><td>sam</td><td>ne</td><td>rad,I</td><td>INT.SG.MASC</td><td>not</td><td>happy,I am not glad myself.,"<i>Russisch-Deutsches Wörterbuch</i>. Puschkin-Verlag Köln, 1991.",558,--
383,Russian,reflexive,Aleksej</td><td>mnogo</td><td>rasskazal</td><td>o</td><td>sebe,Aleksei</td><td>much</td><td>told</td><td>about</td><td>REFL.DAT.,Aleksei has talked a lot about himself.,"Mulisch, H. (ed.) (1975). <i>Die Russische Sprache der Gegenwart -- Band 2, Morphologie</i>. Düsseldorf: Brücken-Verlag.",328,--
384,Russian,reflexive,ja</td><td>kupil</td><td>sebe</td><td>kostjum,I</td><td>bought</td><td>REFL.DAT</td><td>suit.,I bought a suit for myself.,"Mulisch, H. (ed.) (1975). <i>Die Russische Sprache der Gegenwart -- Band 2, Morphologie</i>. Düsseldorf: Brücken-Verlag.",328,--
388,Slovak,adv inclusive,to</td><td>žial&#146;</td><td>sama</td><td>ne-viem,that</td><td>unfortunately</td><td>INT.NOM.SG.FEM</td><td>not-I.know,"Sorry, I don't know that myself.",Insa Gülzow (p.c.),-,--
389,Slovak,adnominal,v</td><td>smotnej</td><td>univerzite</td><td>nie</td><td>je</td><td>žiadna</td><td>reštaurácia,in</td><td>INT.LOC.SG.FEM</td><td>university.LOC.SG.FEM</td><td>not</td><td>is</td><td>no</td><td>restaurant,There is no restaurant in the university building itself.,Insa Gülzow (p.c.),-,--
390,Slovak,reflexive,Pavol</td><td>si</td><td>zobral</td><td>život,Pavol</td><td>REFL.DAT</td><td>took</td><td>live,Pavol killed himself.,Insa Gülzow (p.c.),-,--
391,Slovak,own,tento</td><td>dom</td><td>som</td><td>postavil</td><td>vlasnymi</td><td>rukami,this</td><td>house</td><td>I.have</td><td>built</td><td>own.INSTR.PL</td><td>hand.INSTR.PL,I have built this house with my own hands.,Insa Gülzow (p.c.),-,--
392,Chamorro,adv exclusive,kumanta</td><td>si</td><td>Pedro</td><td>na</td><td>maisa,sing</td><td>PRT</td><td>Pedro</td><td>[LINKER</td><td>alone]=INT,Pedro sang by himself.,Sandra Chung (p.c.),-,PRT: particle
393,Chamorro,reflexive,hafa&#146;gasi-n</td><td>maisa</td><td>gui&#146;</td><td>si</td><td>Juan,wash-[LINKER</td><td>alone]=REFL</td><td>him</td><td>PRT</td><td>Juan,Juan is washing himself.,Sandra Chung (p.c.),-,PRT: particle
394,Chamorro,reflexive,ti</td><td>siNa</td><td>inprotehi</td><td>si</td><td>Miguel</td><td>kontra</td><td>guiya</td><td>na</td><td>maisa,not</td><td>can</td><td>protect</td><td>PRT</td><td>Miguel</td><td>from</td><td>him</td><td>[LINKER</td><td>alone]=REFL,We can't protect Miguel from himself.,Sandra Chung (p.c.),-,PRT: particle
395,French,reflexive,Luc</td><td>se</td><td>déteste,Luc</td><td>REFL</td><td>hates,Luc hates himself.,questionnaire (anonymous source informant),-,--
403,Swahili,adnominal,mimi</td><td>mw-enyewe,I</td><td>NC1-INT,I myself,"Velten, C. (1910). <i>Suaheli-Wörterbuch, I. Teil</i>. Berlin.",66,NC: nominal class marker
396,Chamorro,reflexive,hafa&#146;gasi</td><td>gui&#146;</td><td>si</td><td>Juan,wash</td><td>him</td><td>PRT</td><td>Juan,Juan washed himself.,Sandra Chung (p.c.),-,reflexive meaning without using <i>na maisa</i>
400,Spanish,reflexive,Juan</td><td>se</td><td>detesta,Juan</td><td>REFL</td><td>hates,Juan hates himself.,questionnaire (anonymous source informant),-,--
401,Spanish,reflexive,Juan</td><td>compró</td><td>un</td><td>carro</td><td>para</td><td>sí,Juan</td><td>bought</td><td>a</td><td>car</td><td>for</td><td>REFL,Juan bought a car for himself.,questionnaire (anonymous source informant),-,--
404,Maricopa,reflexive,mat-&#146;-aqaar-m,REFL-1-cut-real,I cut myself.,"Gordon, Lynn (1986). <i>Maricopa Morphology and Syntax</i>. Berkeley: University of California Press.",65,&lt;'&gt;: glottal stop
406,Swahili,reflexive,ni-me-ji-ficha,1SG-TAM-REFL-hide,I hid (myself).,"Velten, C. (1910). <i>Suaheli-Wörterbuch, I. Teil</i>. Berlin.",660,TAM: tense/aspect/mood
407,Maricopa,reflexive,&#146;iipaanysh</td><td>mat-yuu-k,the.man</td><td>REFL-see-real,The man saw himself.,"Gordon, Lynn (1986). <i>Maricopa Morphology and Syntax</i>. Berkeley: University of California Press.",65,--
408,Swahili,adnominal,mimi</td><td>mw-enyewe</td><td>niliwaona,I</td><td>NC1-INT</td><td>saw.them,I myself saw them.,"Swahili Online Study Aids (<a href=""http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw"">http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw)</a>.",-,NC: nominal class marker
409,Maricopa,adv exclusive,Jenish</td><td>maatm</td><td>chkwily-k,Jeni</td><td>INT</td><td>sew-real,Jeni made it all by herself.,"Gordon, Lynn (1986). <i>Maricopa Morphology and Syntax</i>. Berkeley: University of California Press.",66,--
410,Swahili,adnominal,yeye</td><td>ye-nyewe</td><td>aliandika</td><td>barua,she</td><td>NC3-INT</td><td>wrote</td><td>letter,She herself wrote the letter.,"Swahili Online Study Aids (<a href=""http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw"">http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw)</a>.",-,NC: nominal class marker
411,Swahili,adnominal,wanafunzi</td><td>w-enyewe</td><td>waliomba,students</td><td>NC3-INT</td><td>demanded.it,The students themselves demanded it.,"Swahili Online Study Aids (<a href=""http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw"">http://web.africa.ufl.edu/swahili/notes/swa_nt10.msw)</a>.",-,NC: nominal class marker
412,Maricopa,own,maatm</td><td>&#146;-n&#146;aysh</td><td>ny-shqam-m,own</td><td>1-father</td><td>3&gt;1-slap-real,My own father slapped me.,"Gordon, Lynn (1986). <i>Maricopa Morphology and Syntax</i>. Berkeley: University of California Press.",66,&lt;'&gt;: glottal stop
413,Yoruba,adnominal,a</td><td>kò</td><td>rí</td><td>kádínálì</td><td>fúnraàr&#601;&#768;,we</td><td>not</td><td>see</td><td>cardinal</td><td>INT.POSS.3SG,We did not see the cardinal himself.,Insa Gülzow (p.c.),-,for segmentation of <i>fúnraàr&#601;&#768;</i> cf. the explanations given in the comments field above
414,Yoruba,adv exclusive,kìl&#146;o</td><td>shé</td><td>ti</td><td>o</td><td>kò</td><td>lè</td><td>f&#596;&#768;</td><td>funraàr&#601;,what</td><td>QUEST</td><td>REL</td><td>you</td><td>NEG</td><td>can</td><td>wash</td><td>INT.POSS.2SG,Why don't you do your washing yourself?,Insa Gülzow (p.c.),-,QUEST: 'asks confidential questions' (cf. Rowlands 1969: 274)<br> REL: introduces relative clauses<br> for segmentation of <i>funraàr&#601;</i> cf. the comments field above
415,Yoruba,reflexive,Johanum</td><td>f&#601;&#769;ràn</td><td>araar&#601;&#768;.,John</td><td>loves</td><td>REFL.POSS.3SG,John loves himself.,Insa Gülzow (p.c.),-,"for segmentation of <i>araar&#601;&#768;</i>, cf. the comments field above"
